config,attack,watermark,conf,bit_acc,bits,pesq
AU_TI_AW,crop_3s,AudioSeal,0.9916041493415833,1.0,0110111111100100,
AU_TI_AW,crop_3s,Timbre,1.0,1.0,1111001110,
AU_TI_AW,crop_3s,AWARE,0.5488857476235441,0.65,00111111000000000101,
AU_TI_AW,pitch_up,AudioSeal,0.0,0.6875,0100011110100001,
AU_TI_AW,pitch_up,Timbre,0.1,0.1,0000111001,
AU_TI_AW,pitch_up,AWARE,0.0829773979452675,0.6,00011111011000011101,
AW_AU_TI,baseline,AWARE,0.9886783261398674,1.0,01101111111001000001,3.265
AW_AU_TI,baseline,AudioSeal,0.9999769330024719,1.0,0110111111100100,3.265
AW_AU_TI,baseline,Timbre,1.0,1.0,1111001110,3.265
AW_AU_TI,mp3_128,AWARE,0.988610115801845,1.0,01101111111001000001,3.264
AW_AU_TI,mp3_128,AudioSeal,0.9999785423278809,1.0,0110111111100100,3.264
AW_AU_TI,mp3_128,Timbre,1.0,1.0,1111001110,3.264
