config,attack,watermark,conf,bit_acc,bits,pesq
AW_TI,crop_5s,AWARE,,0.55,,
AW_TI,crop_5s,Timbre,,1.0,,
AW_TI,crop_3s,AWARE,,0.6,,
AW_TI,crop_3s,Timbre,,1.0,,
AW_TI,pitch_up,AWARE,,0.6,,
AW_TI,pitch_up,Timbre,,0.0,,
TI_AU,baseline,Timbre,,1.0,,3.401
TI_AU,baseline,AudioSeal,,1.0,,3.401
TI_AU,mp3_128,Timbre,,1.0,,3.402
TI_AU,mp3_128,AudioSeal,,1.0,,3.402
TI_AU,mp3_64,Timbre,,1.0,,3.386
TI_AU,mp3_64,AudioSeal,,1.0,,3.386
TI_AU,aac_128,Timbre,,1.0,,3.392
TI_AU,aac_128,AudioSeal,,1.0,,3.392
TI_AU,opus_64,Timbre,,1.0,,3.386
TI_AU,opus_64,AudioSeal,,1.0,,3.386
TI_AU,resample_8k,Timbre,,1.0,,3.133
TI_AU,resample_8k,AudioSeal,,1.0,,3.133
TI_AU,lowpass_4k,Timbre,,1.0,,3.475
TI_AU,lowpass_4k,AudioSeal,,1.0,,3.475
TI_AU,highpass_500,Timbre,,1.0,,3.456
TI_AU,highpass_500,AudioSeal,,0.94,,3.456
TI_AU,quantize_8bit,Timbre,,1.0,,2.127
TI_AU,quantize_8bit,AudioSeal,,1.0,,2.127
TI_AU,echo,Timbre,,1.0,,2.171
TI_AU,echo,AudioSeal,,1.0,,2.171
TI_AU,sample_suppress,Timbre,,1.0,,3.328
TI_AU,sample_suppress,AudioSeal,,1.0,,3.328
TI_AU,noise_20db,Timbre,,1.0,,1.915
TI_AU,noise_20db,AudioSeal,,1.0,,1.915
TI_AU,noise_10db,Timbre,,1.0,,1.264
TI_AU,noise_10db,AudioSeal,,0.88,,1.264
TI_AU,noise_5db,Timbre,,0.8,,1.14
TI_AU,noise_5db,AudioSeal,,0.88,,1.14
TI_AU,tempo_up_10,Timbre,,1.0,,
TI_AU,tempo_up_10,AudioSeal,,0.88,,
TI_AU,tempo_down_10,Timbre,,1.0,,
TI_AU,tempo_down_10,AudioSeal,,0.81,,
TI_AU,denoise,Timbre,,1.0,,3.709
TI_AU,denoise,AudioSeal,,0.75,,3.709
TI_AU,crop_30s,Timbre,,1.0,,
TI_AU,crop_30s,AudioSeal,,1.0,,
TI_AU,crop_10s,Timbre,,1.0,,
TI_AU,crop_10s,AudioSeal,,1.0,,
TI_AU,crop_5s,Timbre,,1.0,,
TI_AU,crop_5s,AudioSeal,,1.0,,
TI_AU,crop_3s,Timbre,,1.0,,
TI_AU,crop_3s,AudioSeal,,1.0,,
TI_AU,pitch_up,Timbre,,0.1,,
TI_AU,pitch_up,AudioSeal,,0.81,,
TI_AW,baseline,Timbre,,1.0,,3.211
TI_AW,baseline,AWARE,,1.0,,3.211
TI_AW,mp3_128,Timbre,,1.0,,3.205
TI_AW,mp3_128,AWARE,,1.0,,3.205
TI_AW,mp3_64,Timbre,,1.0,,3.195
TI_AW,mp3_64,AWARE,,1.0,,3.195
